District,Year,soil_moisture,clay_0-30cm_mean_(%),sand_0-30cm_mean_(%),silt_0-30cm_mean_(%),soc_0-30cm_mean_(g/kg),bdod_0-30cm_mean_(g/cm³),cec_0-30cm_mean_(meq/100g),phh2o_0-30cm_mean_(pH),nitrogen_0-30cm_mean_(mg/kg),All Sky Longwave Down (W/m²),Cloud Coverage (%),Surface Pressure (kPa),Relative Humidity (%),Average Temperature (°C),Max Temperature (°C),Min Temperature (°C),Monthly Rainfall (mm),Area('000 acres),Yield(tonnes_per_acre),UREA,NP,MAP,SSP,SOP,MOP,AS,NPKs,25th_Percentile-(May),75th_Percentile-(May),IQR-(May),Kurtosis-(May),Max_NDVI-(May),Mean_NDVI-(May),Median_NDVI-(May),Skewness-(May),Std_NDVI-(May),Variance-(May)
sialkot,2001,0.22855317,27.59647199,34.038009,38.36557989,10.40211128,1.517599389,16.64599154,7.582435763,109.5574369,28.81285714,38.55,98.04857143,25.71857143,21.83142857,35.14714286,11.08142857,17.56857143,478.0,0.930962343,585.8000000000002,371.5777777777778,143.97979247266477,68.36867627228352,52.411144745677866,314.8969565123957,418.56498575681815,394.3491360753179,0.184,0.2309,0.0469,5.1494,0.5804,0.213,0.2039,1.7212,0.0444,0.002
toba tek singh,2001,0.172003953,22.27534611,32.42238468,45.30211006,7.681504753,1.527867319,14.02611217,7.530742368,84.47723696,29.09714286,32.41428571,99.17857143,27.84142857,22.1,35.92857143,9.337142857,15.08142857,358.0,1.153631285,585.8000000000002,371.57777777777767,71.09152172769782,446.7664055938294,278.0548504651262,635.14570771307,358.2968918509152,431.33043242805394,0.1669,0.2338,0.0669,0.8534,0.499,0.2039,0.1982,0.7133,0.0527,0.0028
vehari,2001,0.125532164,23.07735465,46.44989532,30.47280075,7.543312991,1.501395987,14.56667749,7.415776062,127.0529409,29.22285714,29.22857143,99.38,25.21428571,22.90714286,36.89857143,10.19142857,7.73,647.0,1.256568779,585.8000000000001,371.57777777777767,572.7814798166653,248.48128342245988,164.90082713243086,418.86317507975207,418.56498575681815,682.6540201307058,0.132,0.1691,0.0371,2.3652,0.3968,0.1516,0.1498,0.5457,0.0316,0.001
attock,2002,0.252584528,23.17901964,19.49466876,57.32633798,8.916800462,1.523007811,16.3738695,7.032652587,99.29446296,28.1,40.16428571,96.93410713375,33.43142857,20.12571429,32.00285714,9.491428571,36.56285714,312.0,0.317307692,585.8000000000002,371.5777777777779,120.22600931169626,407.52229014957777,231.03979022086827,380.3353238845745,53.29671213005069,226.7195727449184,0.1453,0.217,0.0716,1.6584,0.565,0.1858,0.1764,0.8421,0.0541,0.0029
bahawalnagar,2002,0.157937096,22.9042233,45.04427627,32.05161438,7.725205198,1.512642505,13.79395824,7.358470603,139.6220706,29.18285714,28.04714286,99.49428571,24.37285714,23.29,37.30714286,10.52857143,8.574285714,700.0,0.872857143,585.8,371.5777777777778,572.7814798166653,172.1606278867477,532.0494041575516,414.2760747637731,260.67816878405296,549.7731850423435,0.1584,0.2092,0.0508,3.9025,0.5532,0.1872,0.1817,1.2449,0.0428,0.0018
bahawalpur,2002,0.089217525,23.33228973,49.83835207,26.82936439,6.956910005,1.489452973,14.91368202,7.415198511,88.68007501,29.24,23.32714286,99.73285714,23.11714286,23.53571429,37.73,10.57,6.488571429,667.0,0.956521739,585.8000000000002,371.5777777777777,357.7821259132522,379.07942108060126,428.4125270815785,635.3321734381334,243.26541312007288,397.1739451835565,0.1093,0.1595,0.0503,1.419,0.544,0.1364,0.1342,0.6827,0.0384,0.0015
bhakkar,2002,0.076716176,22.99418972,34.65893653,42.34668707,7.004199957,1.504818159,15.03399747,7.562328115,84.25889218,29.07142857,31.57571429,99.23285714,28.44571429,21.81571429,34.69714286,9.908571429,13.84285714,328.0,0.875,585.8000000000001,371.5777777777777,106.46574064956312,145.89556835996217,81.79639793933777,146.47138968287317,384.14197790012855,507.67414800534414,0.0575,0.1645,0.107,0.7053,0.5058,0.1231,0.1218,0.8272,0.0684,0.0047
chakwal,2002,0.233349419,24.95145552,34.04584409,41.00278272,8.916800462,1.518841192,16.23380115,7.27006394,109.6470119,28.06428571,35.34714286,96.93410713375,29.26714286,20.42571429,33.84857143,8.682857143,13.64142857,293.0,0.276450512,585.8000000000002,371.57777777777767,315.54037267080736,304.0158195371393,33.45689353676639,244.9533333333333,356.29117075222825,269.7246998749034,0.1417,0.199,0.0573,2.2594,0.5198,0.1797,0.156,1.5256,0.06,0.0036
chiniot,2002,0.18590949,21.38071035,29.89557793,48.72370037,7.98566382,1.515365903,11.9200304,7.652336945,80.83532067,29.03571429,31.67,99.05,26.27,22.49,36.43714286,10.07,8.907142857,454.0,1.112055202,585.7999999999998,371.57777777777767,131.25381925559523,227.17000684900296,198.8624297456417,429.9154416254815,313.17926292056234,537.49004248145,0.1954,0.2747,0.0793,1.3778,0.601,0.2381,0.233,0.5497,0.0627,0.0039
dera ghazi khan,2002,0.119200093,23.39515004,42.09708534,34.5078131,6.731983444,1.493035367,14.52150244,7.59410394,78.71948246,29.2426857143,25.99428571,98.31571429,21.60714286,23.28285714,37.49,12.05,8.175714286,378.0,1.166666667,585.8,371.5777777777777,165.15755597748478,85.83278555557851,179.29452047196776,179.66336126125634,170.30006159540096,255.7070028993693,0.1424,0.2055,0.0632,3.8408,0.5873,0.1779,0.1717,0.4788,0.0646,0.0042
faisalabad,2002,0.187587703,23.74880918,33.73281683,46.87053341,7.908887425,1.515365903,12.05106161,7.668717385,80.18262089,29.12571429,33.08,99.05,26.27,22.49,36.43714286,10.07,8.907142857,618.0,1.055016181,585.8,371.57777777777767,320.4413752305707,446.7664055938294,376.20185360561766,351.3258114728562,360.6422152064681,586.615082674958,0.205,0.2675,0.0625,0.5402,0.511,0.2386,0.2337,0.5241,0.0483,0.0023
gujranwala,2002,0.22335786,27.76819004,29.90469572,42.32715599,9.39715933,1.523060939,15.08010092,7.728752551,87.61308896,28.86142857,38.19,98.76428571,26.78285714,22.30428571,36.31285714,10.17571429,8.368571429,538.0,1.098513011,585.8000000000001,371.57777777777767,513.2563580824669,248.48128342245988,541.5725549755898,0.0,234.90435783116047,471.4264155079945,0.1789,0.2519,0.073,3.5961,0.6998,0.22,0.211,1.0604,0.0606,0.0037
gujrat,2002,0.230294867,26.05328035,32.963105,40.98357489,10.38613988,1.517214506,15.7080344,7.287606163,111.744565,28.86142857,38.19,98.15,25.86142857,22.47714286,35.91285714,11.63142857,11.57142857,318.0,0.562893082,585.8000000000002,371.5777777777779,301.0882996865183,98.65521030729136,0.0,0.0,109.14366072686671,60.591506269107725,0.1731,0.2419,0.0688,3.0034,0.617,0.2129,0.2033,1.1621,0.0556,0.0031
hafizabad,2002,0.222022402,27.38310484,30.33962519,42.27734727,9.299787954,1.523060939,14.67897171,7.724490479,86.4714649,28.77142857,35.87142857,98.76428571,26.78285714,22.30428571,36.31285714,10.17571429,8.368571429,328.0,1.039634146,585.8000000000002,371.5777777777779,184.0239656743464,248.48128342245988,103.72377530006372,261.19035632436555,375.263037778332,60.591506269107725,0.1765,0.2489,0.0724,3.7781,0.6998,0.2167,0.2082,0.9991,0.0591,0.0035
jhang,2002,0.171324457,22.7898802,38.69853023,38.51152223,7.684066378,1.521484137,13.99187519,7.453346006,89.22363342,29.03571429,31.67,99.19142857,27.36571429,22.29428571,36.10285714,9.97,11.23285714,850.125,0.995412844,585.8000000000002,371.5777777777778,456.6895447489812,384.7254398671495,669.7243007592363,226.97711953089424,139.12290475863824,538.2396130121236,0.1805,0.2504,0.0699,2.8528,0.6017,0.2201,0.2124,1.1067,0.0581,0.0034
jhelum,2002,0.243675675,25.41279174,37.12843044,37.45862102,8.916800462,1.523060939,17.82760547,7.169056461,112.1385719,28.77142857,35.87142857,96.93410713375,29.26714286,20.42571429,33.84857143,8.682857143,13.64142857,103.0,0.40776699,585.8000000000002,371.57777777777767,255.448407846508,248.48128342245988,0.0,37.11252924843112,390.7969789135494,189.29385566865665,0.1419,0.1646,0.0227,8.8258,0.4296,0.1555,0.1528,1.9049,0.0226,0.0005
kasur,2002,0.198562758,24.64495377,36.25457295,39.10042908,9.428379014,1.528101478,15.48364319,7.610802111,89.32452179,29.16,35.97,98.85714286,25.03,22.85,36.69428571,10.58285714,7.192857143,411.0,1.072992701,585.8000000000001,371.5777777777777,249.54143644043145,18.12422751919408,230.91498283874907,0.0,153.46776535582734,408.1003251799524,0.1596,0.2458,0.0862,2.1465,0.735,0.2095,0.1926,1.236,0.0708,0.005
khanewal,2002,0.155474545,23.1228919,45.47436817,31.40295725,7.724291853,1.511466866,13.75895064,7.347015347,144.7483902,29.18285714,28.04714286,99.39571429,25.63142857,22.93571429,36.77857143,10.19142857,10.63571429,519.0,1.150289017,585.8,371.57777777777767,278.1927964426952,195.2447122631804,783.061023356332,588.6901936179283,418.56498575681815,543.4896987021418,0.152,0.2005,0.0485,3.6312,0.5481,0.1796,0.1741,1.1949,0.0408,0.0017
khushab,2002,0.171068794,24.16960883,26.14041699,49.69026842,7.749656236,1.537564182,12.73418343,7.61938197,79.25069198,29.03571429,31.67,99.06428571,27.37285714,22.32285714,35.87285714,10.49285714,11.65142857,162.0,0.567901235,585.8000000000001,371.57777777777767,255.9294047070813,325.4010331644923,0.0,94.65988323664352,75.17484667756153,624.0893721830638,0.1597,0.2253,0.0655,0.9869,0.4614,0.1912,0.1886,-0.1314,0.0588,0.0035
lahore,2002,0.199133506,23.91523224,25.8205166,50.2644288,8.346927864,1.523060939,12.57633228,7.852002798,81.26379005,29.16,35.97,98.72142857,25.60142857,22.62285714,36.51857143,10.47428571,7.247142857,145.0,1.137931034,585.8,371.57777777777767,246.72736537463743,346.991827283602,155.45766260075123,58.30556151651845,315.76033301779364,306.17811013084025,0.1702,0.2715,0.1013,1.2786,0.6275,0.2289,0.2132,1.0699,0.0777,0.006
layyah,2002,0.083561428,22.29196537,36.36847159,41.33956613,6.66423485,1.498386898,14.98093283,7.548995474,80.65577163,29.07142857,31.57571429,99.41857143,27.13285714,22.27571429,35.52,10.42857143,13.54857143,444.0,0.817567568,585.8000000000002,371.57777777777767,88.2743123292837,335.50442382891873,209.3179535657069,48.95408493458498,258.945846195712,486.7933286685024,0.0898,0.1863,0.0965,0.849,0.4875,0.1446,0.1476,0.337,0.0729,0.0053
